context_len,d_embed,hidden,learning_rate,weight_decay,sweep_axis,sweep_value,validation_loss,validation_perplexity,parameter_count,tokens_seen,runtime_seconds
8,64,256,0.003,0.0001,context_len,8,3.876726199314928,48.26594305974077,1415328,307200,4.830047374940477
16,64,256,0.003,0.0001,baseline,16,3.993691917600935,54.25482440553724,1546400,307200,4.9438133330550045
32,64,256,0.003,0.0001,context_len,32,4.180059064079136,65.3697141019557,1808544,307200,5.325849417014979
64,64,256,0.003,0.0001,context_len,64,4.3370743521317685,76.48344805528629,2332832,307200,6.069387542083859
16,32,256,0.003,0.0001,d_embed,32,4.023497944198657,55.89628635306325,1287328,307200,4.148135583032854
16,96,256,0.003,0.0001,d_embed,96,4.016744657499662,55.52007446908773,1805472,307200,5.046022832975723
16,64,128,0.003,0.0001,hidden,128,4.00199547899164,54.70720827003951,903200,307200,3.4974088750313967
16,64,384,0.003,0.0001,hidden,384,4.004734368420266,54.857250645382365,2189600,307200,5.63774062495213
16,64,256,0.001,0.0001,learning_rate,0.001,4.054949264767522,57.68223640024934,1546400,307200,4.5659599169157445
16,64,256,0.006,0.0001,learning_rate,0.006,4.1559139928847895,63.81026002656912,1546400,307200,4.546873459010385
16,64,256,0.003,0.0,weight_decay,0.0,3.9937389180220375,54.257374465057616,1546400,307200,4.544455458060838
16,64,256,0.003,0.001,weight_decay,0.001,3.9912520852070683,54.12261307975224,1546400,307200,4.54404729208909
